id,order_id,nps_score
1,2687,8
2,41,6
3,637,8
4,240,7
5,428,2
6,1876,10
7,2382,4
8,1548,7
9,2876,0
10,1314,3
11,1914,5
12,2830,0
13,2008,0
14,2013,9
15,245,2
16,173,10
17,2027,8
18,2636,8
19,497,7
20,1033,9
21,2856,10
22,2448,10
23,2639,4
24,1223,1
25,199,6
26,1539,2
27,2247,4
28,1468,3
29,1788,2
30,1798,4
31,2556,8
32,2966,9
33,2750,5
34,2149,0
35,619,2
36,971,6
37,1953,7
38,456,6
39,2921,9
40,26,10
41,443,0
42,1398,8
43,83,8
44,1778,9
45,959,10
46,1591,9
47,2165,2
48,1553,6
49,641,8
50,1715,8
51,1313,0
52,2232,9
53,856,10
54,646,9
55,442,7
56,778,9
57,2630,10
58,1773,0
59,918,0
60,313,10
61,1471,9
62,125,0
63,103,9
64,1725,3
65,672,8
66,2018,4
67,304,0
68,1053,3
69,673,10
70,1288,10
71,323,6
72,2293,9
73,1617,10
74,1993,10
75,260,4
76,1344,9
77,903,9
78,2735,10
79,471,10
80,2435,7
81,2433,1
82,2927,8
83,2651,1
84,2579,5
85,1357,9
86,1758,10
87,1589,5
88,815,9
89,2142,7
90,994,5
91,2643,9
92,1787,6
93,1081,10
94,2311,2
95,744,9
96,1907,10
97,1249,2
98,2940,3
99,1255,8
100,2539,0
101,1733,4
102,2833,4
103,2594,5
104,2957,3
105,2787,0
106,1339,10
107,1729,0
108,2012,1
109,2467,6
110,1295,6
111,2223,3
112,2073,8
113,912,5
114,925,0
115,1150,9
116,1989,10
117,2644,7
118,248,0
119,1916,4
120,47,3
121,2613,9
122,1162,9
123,329,8
124,447,6
125,1646,8
126,1071,9
127,2067,9
128,2696,10
129,2530,10
130,250,10
131,2150,9
132,1540,9
133,1280,0
134,2657,0
135,340,6
136,1965,5
137,802,10
138,2994,1
139,890,0
140,314,1
141,1104,3
142,1744,8
143,1283,10
144,1246,9
145,2115,2
146,2272,8
147,246,6
148,2659,8
149,2037,7
150,1854,8
151,2374,1
152,1743,6
153,1419,7
154,383,8
155,2947,9
156,1112,10
157,844,5
158,595,8
159,837,10
160,1243,9
161,2284,5
162,7,8
163,2913,9
164,476,3
165,2543,8
166,380,10
167,854,4
168,1554,10
169,1251,4
170,2504,9
171,2604,1
172,2378,0
173,1697,10
174,1839,9
175,1023,8
176,2928,9
177,2389,10
178,60,9
179,2386,10
180,1832,8
181,2172,9
182,348,10
183,1662,8
184,2240,3
185,555,5
186,2512,9
187,1526,10
188,2552,9
189,2509,6
190,2813,8
191,895,7
192,1152,3
193,1377,0
194,2619,0
195,2718,4
196,725,8
197,1747,6
198,1326,5
199,1366,3
200,539,7
201,2195,2
202,2174,8
203,2857,6
204,1626,10
205,1836,5
206,750,6
207,2791,8
208,2763,7
209,2404,8
210,1648,3
211,1706,7
212,777,0
213,2016,8
214,749,9
215,1740,9
216,1454,1
217,215,0
218,1922,7
219,2595,1
220,1476,4
221,2964,5
222,1,1
223,29,1
224,1613,7
225,170,8
226,284,8
227,2269,10
228,1298,8
229,2625,9
230,494,8
231,586,9
232,1411,10
233,1335,10
234,2236,8
235,562,5
236,1212,9
237,372,4
238,864,8
239,1639,3
240,2669,2
241,2383,10
242,376,4
243,953,9
244,2309,4
245,2683,0
246,957,8
247,189,10
248,32,3
249,414,5
250,1378,9
251,636,10
252,5,10
253,349,2
254,789,9
255,2783,2
256,3,0
257,898,10
258,1632,7
259,718,4
260,1853,8
261,1950,4
262,967,7
263,1521,1
264,2445,9
265,1416,4
266,761,5
267,2231,10
268,120,4
269,1577,9
270,1083,8
271,2528,9
272,1532,4
273,1660,10
274,2345,0
275,2479,10
276,1302,8
277,1670,7
278,2323,2
279,176,8
280,455,10
281,2836,7
282,1485,8
283,2527,4
284,302,10
285,2883,7
286,1489,10
287,2031,1
288,2838,0
289,543,6
290,305,0
291,2971,3
292,2916,6
293,2501,10
294,1403,7
295,933,0
296,2969,5
297,1906,5
298,399,8
299,2785,7
300,2920,7
301,1301,7
302,169,10
303,927,3
304,2834,5
305,2877,8
306,1167,4
307,533,7
308,234,5
309,2006,10
310,147,0
311,2761,8
312,2573,9
313,1387,10
314,2488,8
315,1051,4
316,1976,4
317,2388,9
318,23,1
319,2434,7
320,528,6
321,869,9
322,2291,10
323,662,8
324,362,8
325,757,10
326,2710,2
327,1490,10
328,2469,10
329,1222,10
330,1549,2
331,2634,3
332,2743,8
333,2473,2
334,2164,3
335,1678,10
336,1687,9
337,452,2
338,1134,2
339,863,7
340,727,5
341,2441,10
